,states
0,Arizona
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Florida
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Michigan
15,Minnesota
16,Mississippi
17,Missouri
18,Montana
19,Nevada
20,New Hampshire
21,North Dakota
22,Oklahoma
23,Oregon
24,Rhode Island
25,South Dakota
26,Tennessee
27,Vermont
28,Wisconsin
29,Wyoming
