,states
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Indiana
9,Kentucky
10,Louisiana
11,Maine
12,Maryland
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,Nevada
20,New Hampshire
21,North Carolina
22,North Dakota
23,Ohio
24,Oklahoma
25,Oregon
26,Pennsylvania
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Vermont
33,Virginia
34,Washington
35,West Virginia
36,Wisconsin
37,Wyoming
